,Player,Team,Season,cluster,score,zscore,rank,RANK
3720,Michael Sweetney,Bulls,2005-2006,0,-16.8090281323,-0.891931449405,561.0,31.0
3852,Alonzo Mourning,Heat,2005-2006,0,89.9808283785,0.569198307105,182.0,5.0
4049,Nick Collison,SuperSonics,2005-2006,0,12.5475831017,-0.490265789147,433.0,22.0
4111,Samuel Dalembert,Sixers,2005-2006,0,79.4881341,0.425634223986,206.0,8.0
4153,Brendan Haywood,Wizards,2005-2006,0,26.1874968696,-0.303640537145,377.0,17.0
4663,Robert Swift,SuperSonics,2005-2006,0,45.1017386424,-0.0448504012755,307.0,12.0
4818,Nazr Mohammed,Spurs,2005-2006,0,0.46000010983,-0.655651601721,484.0,25.0
4824,Joel Przybilla,Trail Blazers,2005-2006,0,80.6308084701,0.44126862578,204.0,7.0
4845,Steven Hunter,Sixers,2005-2006,0,29.0198129746,-0.264887967604,366.0,16.0
5064,David Harrison,Pacers,2005-2006,0,-4.66155592875,-0.725726215285,516.0,30.0
5081,Erick Dampier,Mavericks,2005-2006,0,41.3637950278,-0.0959940287869,328.0,13.0
5338,Tyson Chandler,Bulls,2005-2006,0,79.4172402296,0.424664233511,207.0,9.0
5340,Johan Petro,SuperSonics,2005-2006,0,-3.81783478902,-0.714182178204,511.0,29.0
